,indonesian,english
0,abu,ash
1,abu,char
2,abu,cinder
3,abu,dust
4,adopsi,adoption
5,aduh,oh god
6,aduh,oh man
7,aduh,oh no
8,aduh,oof
9,aduh,ouch
10,aduh,ow
11,aktif,active
12,aktif,dynamic
13,aktif,lively
14,aku,i
15,aku,me
16,alam,essence
17,alam,nature
18,alasan,argument
19,alasan,cause
20,alasan,excuse
21,alasan,ground
22,alasan,motivation
23,alasan,motive
24,alasan,rationale
25,alasan,reason
26,alasan,reasoning
27,aman,peaceful
28,aman,safe
29,aman,secure
30,amat,disturbingly
31,amat,enormous
32,amat,exceedingly
33,amat,extremely
34,amat,greatly
35,amat,incredibly
36,amat,most
37,amat,really
38,amat,so
39,amat,super
40,amat,terribly
41,amat,tremendous
42,amat,vastly
43,amat,very
44,amat,well
45,amat,wonderfully
46,ambil,get
47,ambil,grab
48,ambil,pick up
49,ambil,take
50,ancam,intimidate
51,ancam,scare off
52,ancam,snarl
53,ancam,threaten
54,ancaman,danger
55,ancaman,intimidation
56,ancaman,menace
57,ancaman,scare tactics
58,ancaman,threat
59,aneh,abnormal
60,aneh,bizarre
61,aneh,curious
62,aneh,eccentric
63,aneh,funny
64,aneh,odd
65,aneh,peculiar
66,aneh,quaint
67,aneh,strange
68,aneh,uncanny
69,aneh,unusual
70,aneh,weird
71,anehnya,abnormally
72,anehnya,bizarrely
73,anehnya,eccentricly
74,anehnya,oddly
75,anehnya,peculiarly
76,anehnya,strangely
77,anehnya,unusually
78,anehnya,weirdly
79,anggun,elegant
80,anggun,graceful
81,anggun,prim
82,anggun,proper
83,anti,anti
84,anti,anti-
85,anti,contra-
86,antisipasi,anticipation
87,api,blaze
88,api,fire
89,api,flame
90,api,light
91,apresiasi,appreciation
92,asing,alien
93,asing,different
94,asing,exotic
95,asing,foreign
96,asing,non-native
97,asing,strange
98,asyik,fun
99,asyik,hooray
100,asyik,yay
101,badass,alpha
102,badass,awesome
103,badass,badass
104,badass,chad
105,bagi,divide
106,bagi,for
107,bagi,give away
108,bagi,share
109,bagi,to
110,bagus,amazing
111,bagus,awesome
112,bagus,beautiful
113,bagus,excellent
114,bagus,fine
115,bagus,good
116,bagus,great
117,bagus,nice
118,bagus,wonderful
119,bahagia,cheerful
120,bahagia,content
121,bahagia,happy
122,bahaya,challenge
123,bahaya,danger
124,bahaya,harm
125,bahaya,hazard
126,bahaya,risk
127,baik,decent
128,baik,good
129,baik,kind
130,baik,nice
131,baik,okay
132,baik,well
133,ban,belt
134,ban,tire
135,bangga,proud
136,bantu,assist
137,bantu,give a hand
138,bantu,help
139,bantu,lend a hand
140,batal,abandon
141,batal,call off
142,batal,cancel
143,batal,cancell
144,batal,invalid
145,batal,not happening
146,batas,border
147,batas,boundary
148,batas,bounds
149,batas,limit
150,batas,line
151,bebas,candid
152,bebas,free
153,bebas,independent
154,bebas,open
155,beberapa,a bunch of
156,beberapa,a number of
157,beberapa,certain
158,beberapa,couple
159,beberapa,few
160,beberapa,many
161,beberapa,several
162,beberapa,some
163,bela,care
164,bela,defend
165,bela,protect
166,belakang,back
167,belakang,behind
168,belakang,hind
169,belakang,rear
170,benar,accurate
171,benar,correct
172,benar,right
173,benar,true
174,benar,valid
175,bencana,catastrophe
176,bencana,disaster
177,bencana,tragedy
178,benci,abhor
179,benci,can't stand
180,benci,despise
181,benci,detest
182,benci,dislike
183,benci,hate
184,benci,loathe
185,benci,resent
186,berani,bold
187,berani,brave
188,berani,courageous
189,berani,daring
190,berani,gallant
191,berani,gutsy
192,berani,manly
193,berani,spunky
194,berani,tough
195,berani,valiant
196,berarti,counts
197,berarti,matters
198,berarti,meaningful
199,berarti,significant
200,berarti,useful
201,berarti,valuable
202,berat,complicated
203,berat,difficult
204,berat,heavy
205,berat,heft
206,berat,serious
207,berat,severe
208,berat,tough
209,berat,weight
210,berat,weighty
211,berbahaya,bad news
212,berbahaya,challenging
213,berbahaya,dangerous
214,berbahaya,deadly
215,berbahaya,fatal
216,berbahaya,harmful
217,berbahaya,hazardous
218,berbahaya,risky
219,berbahaya,threatening
220,berbahaya,unsafe
221,berdarah,bleed
222,berdarah,bloody
223,berdarah,gory
224,berdoa,hope
225,berdoa,pray
226,berdoa,worship
227,berduka,mourn
228,berduka,sorrow
229,berguna,beneficial
230,berguna,handy
231,berguna,helpful
232,berguna,of use
233,berguna,useful
234,berhak,entitled
235,berhak,have the right to
236,berhak,reserve the right to
237,berhak,rightful
238,berharap,cross fingers
239,berharap,expect
240,berharap,hope
241,beri,berry
242,beri,give
243,berkomitmen,commited
244,berkomitmen,committed
245,berlebihan,excessive
246,berlebihan,obsessive
247,berlebihan,overkill
248,berlebihan,too much
249,bermanfaat,advantageous
250,bermanfaat,benefecial
251,bermanfaat,beneficial
252,bermanfaat,fruitful
253,bermanfaat,helpful
