id,text,label
219,pirasai cicilan 0% lettu 12 uleng ko mappesang tike' pesawa' air asia pake kartu kredi'na bni!,neutral
209,"beppa-beppa na taroe mapparingerrang. beppa riolo maneng, rupanna na re'ga rasana. malunra' beppana na masempo",positive
436,pura emmakku ma'jama okko grab indonesia,neutral
394,"Laipoji ladde' manre tangesso okkoe manu' sibawa sambala' na malunra' ladde' ellinna maka topa sempo, rasa na manu'na mattemme' lettu' buku bukunna, Ese' lilla buayana aga makessing nacekkeri wettang e purata' manre sambala' pesse. Pajjamana magetti na ma bessa, iyae upojiangngi ri anroang kassere' na engka oki 10% laiyassumbangeng lao makkamala', napancajiwi anrewe pede' malunra' tama okko wettang e",positive
592,Appangaderenna bus DAMRI maka kanja',positive
317,Melo makkabbua postingan iya ise' na paddissengeng lao ri tau pake e gojek.,neutral
352,Maddatu bola okko medan nala lempe',neutral
751,"warangna biasa, cuma herangma mitai iyye xiaomi redmi note 2 tombolo onna masolang memeng ga? nappa batrenna masija' memeng ga low bat bos?",negative
856,Mawatang ladde' tepperi tau iya purae mabbelle,negative
504,"Anroanna okko gombel  iya pattiroanna semarang, engka ki' ko wenni i nasaba' lampunna kota e pitai, anre-anre malunra'  na steak sibawa teng pella mancaji menu mattette' okkoe, alaki anroang ri saliweng nasaba anging na macekke' dan ma mappamekke.",positive
13,"Riolo ro mai wettu laoki okkoe anroangge, massuroanggi wette nanre sibawa wette lame-lame, napoji maneng taue wette nanre na. Makko topa wette lame-lamena maka kanja. Makkadai sumpuloloe marasa kopi na. Iyaro kaminang makanja okkoe nasaba maloang i anroanna na mabello lairita dusun bambu, de mi na sitta pole yassuroangnge iyanaro passabari mallao lisu ki mattunangngi purae yassuroang. Masoli soli topa ellinna, nala deceng malunra' moi anre-anrena jaji sicoco' mo isedding. De' to na parellu mappikkiri bekka dua ko meloki lisu paemeng lao okkoe.",positive
978,"Nanre wette thailand ellinna 35 sebbu, polos, engkami bawang cebbi' manu' na cedde'. Seafood na deggaga.",negative
570,"Pada iya yisseng manengnge, brownis iya aslinna pole amerika iyanaritu beppa bantat iya warnana masikola'. Toko amanda nakkibuai i brownis e na nasui nappa napellai. Brownis pellae na pada ko deggaga tongeng. Tadangenna padami sedding yako bolu biasa mi. Jaji ko iya', iyewe tennia brownis.",negative
489,"ko laoki okko restorang e, sicoco' ladde ko esso na wenni, bawaki rangengta pacobai anre wenni sipa'dua na pakkita mata makessing",positive
862,"Pangalamang pammulangnge mapparingngerrang sa nasaba' maselengnga' puraku massuroang anre-anre, bara siddinna pajjama e mabbere daung loka okko mejakku tennia penne yaregga sinru', jaji narekko manreki' okko e massadia ki' manre pake lima nasaba' maeloki' pirasai aga ga silaingeng laitambah i pallapi' anrewe pake daung loka.",positive
774,Sala siddi anroang manre mappenre' cinnae. Tapi malasa ulu ki pitte i. Mancajiwi lau pirasai kerak tello sibawa mie gottang na na tamattangang to marengkalinga akkatitang musi' iya macculeiwi elong kelong bara' riolo. Makessing siseng yajjulluang.,positive
950,Ko meloki pannessai Indo' laoki' okko kantoro' cabang bank mandiri e ro ri esso sibawa tette' ajjamang e massele dui.,neutral
614,"menre' kareta jayabaya malang- jakarta leppang okko gubeng, tike'na 35 sebbu lengka'ni asuransinna 6 sebbu pake traveloka",neutral
569,Dpr mabbereng apresiasi nasaba' macciona makkunrai e ri pilkada 2018,neutral
666,"engkaka manre wenni sibawa sumpu loloku. bunge' engkaku lao okkoe. detto na maroa ladde'. ko warang paranna, macarepa usedding. mega aroppo bekas pakkanreang okko tembo' sibawa mejang e. pada ko de' na paccingi makessing i. ko rasana, standar, de'na makanja' ladde'",negative
965,"Tabe' tapodangngi lao okko anggota dewang e aja nallupai revisi perppu ormas sibawa peringngerrangi jancinna narekko perppu e de narevisi i, Sininna taue pole masyaraka' e meloi mappassu gau'.",neutral
486,karoppo' lame aju e ga'de paning malunra' na si coco' ipasibawang jama tugas e,positive
545,"Batagor sibawa siomay kingsley e we de nappunnai cabang okko anroang laeng e. Anre-anre na malunra', utamana batagor sibawa siomay makkotoparo basso na nappa de napake pappatahang. Narekko maelo ipancaji oleh-oleh engka pake' iya wedding e laibawa lisu. Tapakkoro terru i kulaitas na.",positive
707,"Aja' engka ta massuroang pake iyye layanang e anggota nah. Mappaja nyawa! Villa na macarepa, sininna agaganna de na coco' lai pake",negative
514,"Pendaftarang e mappammula baja, kementrian kominfo mabbukka beasiswa pelatihan digital lao okko 1.000 tau e.",neutral
855,"Na iya' netijen baru ka' na ri wettu april labe' e jokka ka lao toba, maelo ma' pau i makkada tongeng maega aga-aga mappasara nyawa pole okko sistem pariwisata e okko ro. Parapat -na macarepa, mawatang sappa anroang iya makae kanja', ageng transpotasi na de na profesional, de siseng na coco' yajjulluang lao okko parapat.",negative
412,Macarepa ladde' na detto na jampangiki pelayanna. Maka ja' ladde pangadarenna!,negative
590,"Anroanna ko iyya usedding mabiasa mi, kurang mapaccing. Anre-anrena aga mabiasa mi",negative
456,"Yako laiyitai usaha laipassue e lettu' okkoe hassele' na mabiasami. Iya mappasara nyawae iyanaritu akanjakenna anrewe. Anrena pada ko assala lainasu mi. Yako lai yitai akanjakenna anre-anre okkoe bandung , mappasara nyawa sa iyye. Engka tike' tama tungke' tau 10.000 sibawa oto 15.000.",negative
467,"iyya' sibawwa sumpu loloku massappa onroang manre purata manontong. cau manenni manre okkko resto / kafe okko mol e. tappa lai yita bawang resto okko kanang laleng e. mettani de' to lao manre okko e. leppangni okko resto mabiccu e, 9 mi mejanna. makanja' pale onroanna sibawa anre-anrena",positive
852,Kopi starbucks e manengka malunra' ladde' dih,positive
861,"Naseng taue okkoro melo laipatettong transmart, siwali' na iyaro bangunang e.",neutral
628,"tongengpa de'gaga padanna rasana, manre tengngana galung engkae ase ceddepi na maridi. mega rupanna pakanreanna, pattale'na makessing na mappakacinna",positive
181,"Manre sibawa padakkunreang ku maneng siaga essona labe' e, anroanna manyameng, makessing yonri cado'-cado', pangaderenna makanja. Bekka siagani ta manre okkoe."")",positive
208,"onroang ole-olena lengka' na menyameng topa, ma gampang lae runtu' na masempo  topa ellianna, mabessa toni pelayanna",positive
122,"Tabe' eviana, tamillau dampeng nasaba' maja tasedding. Yako kontak pole indosat wedding napakei iya e tautang e: Tabe' taparessai na, Terima kasi. Erf",neutral
655,menuna indomie sibawa tuni roti. ko onroang pada mo cabang laengnge manyameng lae paki sikumpulu,positive
182,"Sambala' pakewe daung serawung, lambace, sibawa ladang renni'. Rasana sambala'e pancajiwi kota okkoe garut iyaro asnena cibiuk mancaji maroa. Iye sambala' e sikenangeng yako laipasianta' i sibawa gurame wette yaregga manu' wette. Rasana maka lunra'. Saliwenna ri lengkokng ri cibiuk aga maega to cabang na.",positive
316,Purani lau akkutanang lao okko pajjamana gramedia tapi lairempe'-rempe' mi' deggaga manessa. Pajjamana gramedia lettu' spv okko outlet na siddempe'-dempe' mi sibawa napau makkada deggaga promo. Masara nyawa lairempe'-rempe' makkoaro,negative
216,salama' esso. ko engka laingnge melo ta pakkutanang pak wedding siseng tapodangnga' pemeng. Tarima kasi' zan,neutral
865,"Ko idi' maneng iyae anroangnge mabiasami nasaba' deggaga akkatitang yare' ga pattiroang makae kanja' na ellinna tike' e 10000 / tau, yako pattiro bulu na memeng sa sitongenna engka nasaba' okkoi anroang matanrewe. Yako wisata anre na detto na maka ega appittereng pada anroang siddie laengnge.",negative
894,"Iya mancaji pangelli tette' na madtari sipongenna taung 2002, iyaro wettu e warung tenda biccu mi tapi maroa ri weetu wenni wi. Siaganna mani taung labe' e nappai nonri bangunang mattette' e, sipunge' naro iya pirasai akanjakenna pede' no i yako laipasibandingngi wettunna warung tenda mopi. Iya manessae, ellinna menre' ladde' yako laipasirekeng i warung laingnge pada-padanna, nulle lebbi pi solina.",negative
329,"Pau kaminang pammulangnge manessa makkada anroang makae kanja', pangaderenna maka bessa, sibawa menu iya ipitte e iyanaritu tunu bale sibawa nasu so' buntut na iya warengngi nomoro' 4 tapi yako es buah na iyaro warenggi nomoro' 5 nah.",positive
169,"okko restorangnge we anre-anre iya napassadia e maka ega na masempomi ellinna, suasanana makanja' na mappanyameng",positive
374,Masiri ati ka mitaki' maneng taulle runtu' akkasennangeng,negative
558,Pura melli pulsa maelo daftar pake' interne' de nattuju terru sibawa nasuro laiyulangi matterru okko 363 na tette' i de nullei,negative
776,"onroanna makanja' ladde' apalagi ko mawenni engka lampu-lampuna, malebbi ladde'. sicoco' ko sibawaki rangetta. mabela pole kotae. macekke anginna. weddingki mita kanja'na kota pole yase'",positive
56,"Anrena anrena malunra' lunra' na situju mata ladde' i laifoto, makanja. Iyamiro nasaba mappasianta' to minumanna na manyameng topa laiyonri sipulung pulung sibawa anggotae.",positive
529,"Iyewe bekka dua ku laome jokka. Sininna anre-anre iyae laupirasai e malunra' lunra', sibawa anroanna pada mopi gellona riolo. De nengka wassesse' kale manre okkoe.",positive
676,"Anre-anre na smoked chicken na cheese sandwich, inunna jus. Pas na malunra. Onroanna makanja' memeng ko meloki suasana mamekko e mabela pole agaga rukka e.",positive
312,Pabbura iya de napake resep makessing ko nawelai indo' mappasusue,neutral
568,"Pede' maega laiyisseng, pede' mappangimpuru.",neutral
454,Pajjama kuttu melo yaga yareang i cuti. Maja i jama-jamang manengka melo lao foya-foya. Appikkiri' ko!,negative
487,"onroang sideppe salo sibawa ale' na malunra' pakkanreanna na pa kanja' nyawata si coco' topa lai pake tudang-tudang, mega rupanna ga'de okko onrowange, makessing aga udarana",positive
621,"tabe' cedde' dih, nara' magampang nasabah okko laleng stasiung tigakarsa yareangngi mesing atm bni",neutral
820,"Kupat tahu gempol mancajiwi bara siddinna kupat tau legendaris. Anroanna de' to namaloppo ladde' tapi manessa ladde' i nasaba' macella' i pita warna na okko pakkatellu pasa gempol. Porsinna sikanangeng ladde' lau okko tau maliwaseng e. Akanjakenna iye kupat tahu e nasaba' tahu na malemma' sibawa makennye na duro canggoreng na pas okko lilla e. Lai pasibawangngi lontong, tauge sibawa karokko' cella. Malunra' ladde'.",positive
44,"Pada tongeng iya' silalona sappo, iyaro pake' freedom I ku depa nacappu na laisinge'na tarif panga.",negative
766,Onroang manrewe iyye sitongenna masemponi yaseng ko laipasibali onroang manre pada-padanna. Iyamiro nasaba pakkanreang napassadia e biasa maneng mi detto gaga istimewa. Megangngi pakkanreangna bale mi are' ga manu' lae wette' e. Wedding sa yaseng makkada anre-anrena degaga variasinna cedde' mo.,negative
401,"kamara' mandi mabela pole kanja', onroang abbisang limanna de' na passediai sabung",negative
537,"peneddingenna sikenangeng maneng lao okko rupa taue, namo idi' yako meloki' tudang cadiddi, sibawa sumpuloloe, yaregga sibawa anggota-anggota mareppe e sittukara' carita",positive
733,basso lae poji e idi sisumpu lolo. manyameng na malunra' ladde. lae pasibawasi lemo ese' sibawa karoppo pute. malunra' ladde je'. masempo ellinna. lokasina tamasi lorong biccu tapi magampang mo lae runtu nasaba maega tau missengngi onroanna,positive
717,"de'na malunra' manre okko restorang e, de'na weddingki millau duro opor manu pada ko warteg e",negative
298,Menre' na presentasi pangillauang ride sharing pancajiwi toyota macapa' mappassu dui lettu $1 miliar lao okko grab bare' salama' i bisnis otomotifna.,neutral
124,"
Pattiroanna kota bandung iya makae bello yulle mita pole sierra kafe lounge. Engka dua appittereng anroang, wedding ilaleng makkotoparo isaliweng. Anroang iya romantis e sikanangeng lai yonri sippaddua sibawa sikanangeng to yonri sikkumpulu' sibawa anggota-anggotae mabbura tekko, nasaba akkinyawangeng e maccekke' na mappesennang. Anre-anre ipassadiae malunra topa sibawa maega appitterengenna. Engka nasu-nasu indonesia, asia, makkotopa eropa / anre-anre bara'",positive
364,Bolae iyaro mappunnai palla' loppo makae bolong,neutral
793,"restorang de'gaga padanna, de'gaga napasediangngi penne, ko meloki manre pakeki daung loka. pakkanreanna malunra' sah",positive
18,Ambo' ku iyanaritu pajjama okko Net TV,neutral
622,Indomie maega lae runtu okko warung-warung macawe' e.,neutral
224,maka ladde sussa lai yisseng tau tori naseng alena coco',negative
393,Mannippi laisuro sappa sikola' sibawa gordon ramsay eh mancaji sigarui sibawa durona indomie e,neutral
158,"Iya si ro mi sedap e ise'na lebbi eganna, tapi yako persoalang rasa mabela laikala sibawa laingnge"")",negative
